x1,x2,x3,x4,x5,x6,y
111.6,130.0,46.0,247.0,62.0,100.0,21.0
91.5,135.0,50.0,251.0,70.0,94.2,21.0
90.8,135.0,50.0,245.0,70.0,94.1,21.0
80.8,175.0,43.0,247.0,80.0,16.3,13.0
82.8,145.0,46.0,248.0,80.0,22.0,20.0
78.6,145.0,46.0,255.0,80.0,22.0,20.0
93.2,120.0,43.0,254.0,80.0,22.0,21.0
93.7,120.0,38.0,253.0,80.0,16.4,23.0
95.9,120.0,38.0,253.0,80.0,10.9,21.0
97.6,115.0,42.0,256.0,70.0,10.8,27.0
100.0,115.0,42.0,254.0,70.0,10.8,26.0
100.0,115.0,50.0,260.0,50.0,10.0,26.0
100.0,119.0,47.0,268.0,40.0,0.9,27.0
100.0,115.0,51.0,264.0,40.0,0.9,26.0
98.7,119.0,46.0,259.0,40.0,1.0,28.0
100.0,119.0,44.0,268.0,40.0,1.4,27.0
94.0,135.0,45.0,261.0,50.0,2.8,23.0
138.7,160.0,53.0,268.0,70.0,96.9,17.0
157.0,143.0,56.0,264.0,36.0,95.1,20.0
160.0,150.0,55.0,265.0,36.0,94.4,18.0
160.0,137.0,47.0,261.0,65.0,94.4,21.0
119.0,128.0,59.0,274.0,40.0,86.2,21.0
116.0,139.0,53.0,273.0,52.0,13.8,19.0
118.6,139.0,52.0,265.0,52.0,13.8,17.0
117.7,139.0,50.0,270.0,40.0,13.8,17.0
117.5,150.0,50.0,273.0,40.0,13.8,21.0
114.3,173.0,40.0,259.0,40.0,1.9,18.0
133.2,115.0,58.0,270.0,60.0,9.6,19.0
129.5,107.0,53.0,274.0,40.0,9.6,23.0
128.4,128.0,59.0,262.0,40.0,9.6,21.0
121.4,128.0,57.0,268.0,40.0,11.4,21.0
150.0,110.0,51.0,269.0,40.0,2.7,23.0
150.8,110.0,50.0,276.0,40.0,3.0,23.0
150.0,110.0,49.0,275.0,40.0,3.0,24.0
106.9,110.0,49.0,271.0,40.0,3.0,26.0
124.3,120.0,53.0,271.0,40.0,3.0,20.0
139.2,105.0,52.0,274.0,40.0,2.2,24.0
139.7,119.0,53.0,270.0,40.0,1.2,22.0
140.4,119.0,52.0,266.0,40.0,1.2,22.0
140.4,119.0,48.0,276.0,40.0,1.2,23.0
138.9,119.0,50.0,270.0,40.0,1.3,26.0
139.5,119.0,51.0,271.0,40.0,1.8,23.0
105.9,133.0,52.0,260.0,40.0,4.9,20.0
110.0,133.0,52.0,269.0,40.0,3.9,23.0
101.6,133.0,53.0,273.0,40.0,3.9,22.0
